"Event Name","Location","Lat","Long","Year","Month","Day","date_inc"
"Leif Ericson lands in ""Vinland""","L'Anse aux Meadows, Newfoundland",51.6,-55.53,1000,0,0,"decade"
"Ponce de León lands in America","Florida",29.89,-81.31,1513,0,0,"year"
"Hernando Cortés conquers the Aztec empire","Tenochtitlan, present day Mexico City, Mexico",19.43,-99.13,1521,0,0,"year"
"Pizzarro defeats the Inca and takes the capital of Cuzco","Cuzco, Peru",-12.53,-71.97,1533,0,0,"year"
"Hernando de Soto crosses the Mississippi River","Near modern Memphis, Tennessee",35.12,-89.97,1541,6,0,"year"
"The Spanish found first permanent European colony in North America","St. Augustine, Florida",29.89,-81.31,1565,0,0,"year"
"The first English child, Virginia Dare, is born in North America","Roanoke, Virginia",37.27,-79.94,1587,8,18,"month"
"The Jamestown settlement is founded","Jamestown, Virginia",37.21,-76.76,1607,0,0,"year"
"The first Dutch trading post is established in New York","Lower Manhattan Island, New York",40.71,-74.01,1603,0,0,"year"
"The first legislative assembly in America, The Virginia House of Burgesses, convenes","Jamestown, Virginia",37.21,-76.76,1619,0,0,"year"
"The first African slaves are brought to Colonial America by a Dutch ship","Jamestown, Virginia",37.21,-76.76,1619,0,0,"year"
"The Mayflower lands in Colonial America","Cape Cod, Massachusetts",41.8,-69.98,1620,11,9,"month"
"The Mayflower Compact is signed, establishing the local government","Cape Cod, Massachusetts",41.8,-69.98,1620,11,11,"month"
"John Winthrop established Boston","Boston, Massachusetts",42.36,-71.06,1630,9,0,"year"
"The first public school in America is established","Boston Latin School, Boston, Massachusetts",42.34,-71.1,1635,4,23,"month"
"King Philip (Chief Metacomet of the Wampanoags) is killed","Miery Swamp in Bristol, Rhode Island",41.67,-71.28,1676,8,12,"month"
"The Salem Witch Trials","Salem, Massachusetts",42.52,-70.9,1692,0,0,"year"
"The French begin a settlement in what is now Detroit","Detroit, Michigan",42.33,-83.05,1701,0,0,"year"
"The French found New Orleans","New Orleans, Louisiana",29.95,-90.08,1718,0,0,"year"
"The first American synagogue is built","New York City, New York",40.71,-74.01,1728,0,0,"year"
"Benjamin Franklin founds the first American public library","Philadelphia, Pennsylvania",39.95,-75.16,1731,0,0,"year"
"George Washington is born","Westmoreland County, Virginia",38.19,-76.93,1732,2,22,"month"
"Ottawa Chief Pontiac lays siege to British forces at Fort Detroit","Detroit Michigan",42.33,-83.05,1763,5,7,"month"
"The Boston Massacre","Boston, Massachusetts",42.36,-71.06,1770,3,5,"month"
"The Boston Tea Party","Boston, Massachusetts",42.36,-71.06,1773,12,16,"month"
"Paul Revere warns Sam Adams and John Hancock","Lexington, Kentucky",38.05,-84.5,1775,4,18,"month"
"The American Revolution starts with ""shot heard round the world""","Lexington Green, Lexington, Kentucky",42.45,-71.23,1775,4,19,"month"
"Ethan Allen and Benedict Arnold capture Fort Ticonderoga","Ticonderoga, New York",43.84,-73.39,1775,5,10,"month"
"The Second Continental Congress convenes","Philadelphia, Pennsylvania",39.95,-75.16,1775,5,10,"month"
"George Washington is elected general and commander-in-chief of the Continental Army","Philadelphia, Pennsylvania",39.95,-75.16,1775,6,15,"month"
"The Battle of Bunker Hill","Charlestown, Massachusetts",42.37,-71.06,1775,5,17,"month"
"Thomas Paine's Common Sense is published","Philadelphia, Pennsylvania",39.95,-75.16,1776,1,9,"month"
"The United States Declaration of Independence is signed","Philadelphia, Pennsylvania",39.95,-75.16,1776,7,4,"month"
"General Washington is defeated in the Battle of Long Island","Long Island, New York City, New York",40.67,-73.98,1776,8,0,"month"
"Nathan Hale is executed without trial for spying on the British","Long Island, New York City, New York",40.67,-73.98,1776,9,22,"month"
"The American Navy is crippled in the Battle of Valcour Bay","Valcour Island, New York",44.61,-73.43,1776,10,11,"month"
"Washington crosses the Delaware river and attacks 1500 Hessians","Trenton, New Jersey",40.22,-74.76,1776,12,25,"month"
"Washington establishes the first winter quartes at Morristown","Morristown, New Jersey",40.79,-74.48,1777,1,0,"month"
"General Burgoyne's troops capture Fort Ticonderoga","Ticonderoga, New York",43.84,-73.39,1777,7,6,"month"
"Marquis de Lafayette arrives in America with French volunteers","Philadelphia, Pennsylvania",39.95,-75.16,1777,7,27,"month"
"The Americans triumph in the Battle of Saratoga","Saratoga County, New York",43,-73.64,1777,10,17,"month"
